feature,coef,importance_abs,direction
cat__purpose_used car,1.4674018180454858,1.4674018180454858,↑ risque (bad)
cat__checking_status_no checking,1.0156504292622697,1.0156504292622697,↑ risque (bad)
cat__other_parties_guarantor,0.9112997133327039,0.9112997133327039,↑ risque (bad)
cat__purpose_education,-0.8318643420180465,0.8318643420180465,↓ risque (bad)
cat__credit_history_critical/other existing credit,0.8265473554405234,0.8265473554405234,↑ risque (bad)
cat__purpose_new car,-0.7047945727416064,0.7047945727416064,↓ risque (bad)
cat__checking_status_<0,-0.702578327945901,0.702578327945901,↓ risque (bad)
cat__foreign_worker_no,0.678371508493907,0.678371508493907,↑ risque (bad)
cat__savings_status_>=1000,0.6485485923487131,0.6485485923487131,↑ risque (bad)
cat__foreign_worker_yes,-0.5917876250754106,0.5917876250754106,↓ risque (bad)
cat__other_parties_co applicant,-0.5876635613995869,0.5876635613995869,↓ risque (bad)
cat__other_payment_plans_none,0.5677373152001742,0.5677373152001742,↑ risque (bad)
cat__savings_status_<100,-0.5404939152936616,0.5404939152936616,↓ risque (bad)
cat__purpose_repairs,-0.5227276993496038,0.5227276993496038,↓ risque (bad)
cat__employment_4<=X<7,0.5088452303047455,0.5088452303047455,↑ risque (bad)
cat__credit_history_no credits/all paid,-0.43884386921341323,0.43884386921341323,↓ risque (bad)
cat__property_magnitude_no known property,-0.39996358043912,0.39996358043912,↓ risque (bad)
num__credit_amount,-0.3615269448232142,0.3615269448232142,↓ risque (bad)
cat__checking_status_0<=X<200,-0.3448736708339664,0.3448736708339664,↓ risque (bad)
cat__personal_status_male single,0.34063507273530563,0.34063507273530563,↑ risque (bad)
